11/26/2025,,,,105574,,0.000
BINGO STOCK SHEET ,,,,,,
BIN NO,SKU,BATCH,DESCRIPTION,CFC, UOM ,QTY
C42,FXC20010SA,Z25NOV25,0,22,  -   ,0.000
C42,FXC20050S,Z25NOV25,0,39,  -   ,0.000
C42,FXC71020SA,Z17NOV25,0,90,  -   ,0.000
C42,,,0,,  -   ,0.000
D01,FXC170010S,Z03NOV25,0,2,  -   ,0.000
D01,FXC20005SC,Z06NOV25,0,52,  -   ,0.000
D01,FXC20005SC,Z05NOV25,0,13,  -   ,0.000
D01,FXC20010SA,Z04NOV25,0,28,  -   ,0.000
D01,FXC30005SLA,Z15NOV25,0,12,  -   ,0.000
D01,FXC30005SLA,Z01NOV25,0,17,  -   ,0.000
D01,FXC30005SLA,Z06NOV25,0,2,  -   ,0.000
D01,FXC40005SL,Z14NOV25,0,60,  -   ,0.000
D01,FXC40010SA,Z14NOV25,0,232,  -   ,0.000
D01,FXC70010S,Z17NOV25,0,11,  -   ,0.000
D01,FXC70010S,Z18NOV25,0,2,  -   ,0.000
D01,FXC70010S,Z20NOV25,0,6,  -   ,0.000
D01,FXC70010S,Z17NOV25,0,10,  -   ,0.000
D01,FXC70051S,Z18NOV25,0,9,  -   ,0.000
D01,FXC71051S,Z17NOV25,0,3,  -   ,0.000
D01,FXC74050S,Z19NOV25,0,16,  -   ,0.000
D01,,,0,,  -   ,0.000
D01,,,0,,  -   ,0.000
D01,,,0,,  -   ,0.000
D01,,,0,,  -   ,0.000
D01,,,0,,  -   ,0.000
D01,,,0,,  -   ,0.000
D01,,,0,,  -   ,0.000
D02,FXC40005SL,Z14NOV25,0,90,  -   ,0.000
D03,FXC30005SLA,Z15NOV25,0,240,  -   ,0.000
D04,FXC30005SLA,Z15NOV25,0,240,  -   ,0.000
D05,FXC70010S,Z22NOV25,0,240,  -   ,0.000
D05,,,0,,  -   ,0.000
D06,FXC30005SLA,Z15NOV25,0,206,  -   ,0.000
D07,,,0,,  -   ,0.000
D08,FXC50005S,Z15NOV25,0,120,  -   ,0.000
D09,,,0,,  -   ,0.000
D09,,,0,,  -   ,0.000
D10,,,0,,  -   ,0.000
D10,,,0,,  -   ,0.000
D11,FXC70010S,Z22NOV25,0,210,  -   ,0.000
D11,FXC70010S,Z22NOV25,0,240,  -   ,0.000
D12,,,0,,  -   ,0.000
D12,,,0,,  -   ,0.000
D13,FXC71010S,Z22NOV25,0,168,  -   ,0.000
D13,,,0,,  -   ,0.000
D13,,,0,,  -   ,0.000
D14,FXC70010S,Z21NOV25,0,240,  -   ,0.000
D15,FXC50005S,Z15NOV25,0,240,  -   ,0.000
D16,,,0,,  -   ,0.000
D17,,,0,,  -   ,0.000
D18,,,0,,  -   ,0.000
D18,,,0,,  -   ,0.000
D19,FXC70010S,Z22NOV25,0,270,  -   ,0.000
D19,,,0,,  -   ,0.000
D19,,,0,,  -   ,0.000
D20,FXC30005SLA,Z15NOV25,0,240,  -   ,0.000
D20,,,0,,  -   ,0.000
D20,,,0,,  -   ,0.000
D21,FXC70020SB,Z21NOV25,0,270,  -   ,0.000
D21,,,0,,  -   ,0.000
D22,,,0,,  -   ,0.000
D22,,,0,,  -   ,0.000
D23,FXC71020SA,Z17NOV25,0,240,  -   ,0.000
D23,,,0,,  -   ,0.000
D23,,,0,,  -   ,0.000
D24,FXC71020SA,Z17NOV25,0,240,  -   ,0.000
D24,,,0,,  -   ,0.000
D24,,,0,,  -   ,0.000
D25,FXC70010S,Z20NOV25,0,120,  -   ,0.000
D25,,,0,,  -   ,0.000
D25,,,0,,  -   ,0.000
D26,FXC70010S,Z20NOV25,0,120,  -   ,0.000
D26,,,0,,  -   ,0.000
D27,FXC70010S,Z20NOV25,0,270,  -   ,0.000
D27,FXC70010S,Z20NOV25,0,270,  -   ,0.000
D27,,,0,,  -   ,0.000
D28,FXC74050S,Z20NOV25,0,230,  -   ,0.000
D28,,,0,,  -   ,0.000
D29,FXC70010S,Z21NOV25,0,270,  -   ,0.000
D30,FXC40005SL,Z14NOV25,0,12,  -   ,0.000
D30,FXC70020SB,Z20NOV25,0,150,  -   ,0.000
D30,,,0,,  -   ,0.000
D30,,,0,,  -   ,0.000
D31,FXC70020SB,Z22NOV25,0,72,  -   ,0.000
D31,FXC71020SA,Z21NOV25,0,60,  -   ,0.000
D32,FXC40010SA,Z14NOV25,0,8,  -   ,0.000
D32,FXC40020S,Z14NOV25,0,15,  -   ,0.000
D32,FXC70010S,Z21NOV25,0,30,  -   ,0.000
D32,FXC73010S,Z21NOV25,0,90,  -   ,0.000
D32,FXC74010S,Z20NOV25,0,37,  -   ,0.000
D32,,,0,,  -   ,0.000
D32,,,0,,  -   ,0.000
D33,FXC71010S,Z17NOV25,0,150,  -   ,0.000
D33,,,0,,  -   ,0.000
D34,FXC71010S,Z17NOV25,0,120,  -   ,0.000
D34,,,0,,  -   ,0.000
D35,,,0,,  -   ,0.000
D35,,,0,,  -   ,0.000
D35,,,0,,  -   ,0.000
E01,FXC20005SC,Z25NOV25,0,210,  -   ,0.000
E02,FXC20005SC,Z25NOV25,0,210,  -   ,0.000
E03,FXC20005SC,Z25NOV25,0,140,  -   ,0.000
E04,FXC30005SLA,Z25NOV25,0,96,  -   ,0.000
E04,,,0,,  -   ,0.000
E05,FXC30005SLA,Z07NOV25,0,206,  -   ,0.000
E06,FXC30005SLA,Z07NOV25,0,210,  -   ,0.000
E06,FXC71010S,Z30OCT25,0,20,  -   ,0.000
E07,,,0,,  -   ,0.000
E08,FXC30005SLA,Z07NOV25,0,240,  -   ,0.000
E09,FXC30005SLA,Z07NOV25,0,270,  -   ,0.000
E09,FXC70010S,Z20NOV25,0,30,  -   ,0.000
E09,,,0,,  -   ,0.000
E09,,,0,,  -   ,0.000
E10,FXC70010S,Z13NOV25,0,12,  -   ,0.000
E10,,,0,,  -   ,0.000
E11,FXC40005SL,Z04NOV25,0,240,  -   ,0.000
E12,FXC50005S,Z24NOV25,0,240,  -   ,0.000
E13,FXC170010S,Z03NOV25,0,94,  -   ,0.000
E13,FXC30005SLA,Z01NOV25,0,10,  -   ,0.000
E14,FXC50005S,Z24NOV25,0,240,  -   ,0.000
E15,FXC40005SL,Z04NOV25,0,240,  -   ,0.000
E16,FXC40005SL,Z04NOV25,0,240,  -   ,0.000
E16,,,0,,  -   ,0.000
E17,FXC40005SL,Z04NOV25,0,154,  -   ,0.000
E18,FXC10005SLA,Z04NOV25,0,240,  -   ,0.000
E19,FXC70010S,Z21NOV25,0,240,  -   ,0.000
E20,FXC70010S,Z21NOV25,0,240,  -   ,0.000
E21,FXC70010S,Z21NOV25,0,121,  -   ,0.000
E22,,,0,,  -   ,0.000
E23,,,0,,  -   ,0.000
E24,FXC10005SLA,Z04NOV25,0,129,  -   ,0.000
E24,FXC70010S,Z18NOV25,0,20,  -   ,0.000
E24,FXC70051S,Z21NOV25,0,22,  -   ,0.000
E25,FXC170005S,Z04NOV25,0,90,  -   ,0.000
E25,FXC71010S,Z30OCT25,0,23,  -   ,0.000
E25,FXC72030SA,Z22SEP25,0,19,  -   ,0.000
E25,FXC74010S,Z13NOV25,0,1,  -   ,0.000
E26,FXC30005SLA,Z14NOV25,0,13,  -   ,0.000
E26,FXC71010S,Z30OCT25,0,41,  -   ,0.000
E26,FXC71051S,Z17NOV25,0,114,  -   ,0.000
E27,,,0,,  -   ,0.000
E28,,,0,,  -   ,0.000
E29,FXC50005S,Z15NOV25,0,169,  -   ,0.000
E30,FXC70010S,Z22OCT25,0,7,  -   ,0.000
E30,FXC71010S,Z17NOV25,0,240,  -   ,0.000
E30,FXC74010S,Z19NOV25,0,30,  -   ,0.000
E30,,,0,,  -   ,0.000
E31,FXC30020SA,Z14NOV25,0,37,  -   ,0.000
E31,FXC74010S,Z13NOV25,0,150,  -   ,0.000
E32,,,0,,  -   ,0.000
E33,FXC40005SL,Z03NOV25,0,2,  -   ,0.000
E33,FXC70010S,Z21NOV25,0,270,  -   ,0.000
E33,FXC74010S,Z19NOV25,0,30,  -   ,0.000
E33,FXC75010SA,Z10NOV25,0,17,  -   ,0.000
E34,FXC70020SB,Z21NOV25,0,30,  -   ,0.000
