id,bin_no,sku,batch_no,cfc,description,uom,created_at,updated_at,expire_days
1,A01,FXC10005PB,NEW251104,0,48560 BINGO! CHIPS RS.5 SALTED,2.520,2025-11-04T13:17:11.311Z,2025-11-04T23:59:45.861Z,
2,A02,FXC10005PB,NEW251104,0,48560 BINGO! CHIPS RS.5 SALTED,2.520,2025-11-04T20:33:21.331Z,2025-11-04T23:59:49.180Z,
3,A03,FXC10005PB,Z04NOV25,239,48560 BINGO! CHIPS RS.5 SALTED,2.520,2025-11-04T20:50:54.240Z,2025-11-07T10:33:05.703Z,115
4,A04,FXC10005PB,Z05NOV25,73,48560 BINGO! CHIPS RS.5 SALTED,2.520,2025-11-04T21:00:02.712Z,2025-11-05T02:19:59.640Z,116
5,A05,FXC10005SLA,Z05NOV25,100,48560 BINGO! CHIPS RS.5 SALTED,2.688,2025-11-04T23:20:08.017Z,2025-11-04T23:20:08.017Z,176
6,A04,FXC10005PB,Z07NOV25,10,48560 BINGO! CHIPS RS.5 SALTED,2.520,2025-11-07T11:06:29.149Z,2025-11-07T11:06:29.149Z,118
7,A04,FXC10005PB,Z09NOV25,10,48560 BINGO! CHIPS RS.5 SALTED,2.520,2025-11-09T12:49:36.871Z,2025-11-09T12:49:36.871Z,
